Date,Open,High,Low,Close,Adj Close,Volume
2014-01-31,6.266230,6.530810,6.099030,6.458030,4.930034,1088537494
2014-02-28,6.343940,6.875060,6.164930,6.807190,5.196582,1384835161
2014-03-31,6.840630,7.128810,6.694080,7.049150,5.381293,1803144622
2014-04-30,7.049150,7.406180,6.920300,7.400270,5.745180,1160981480
2014-05-31,7.398310,7.795660,7.327490,7.504530,5.826121,1341470581
2014-06-30,7.535020,7.720910,7.111110,7.422900,5.762748,1755372392
2014-07-31,7.386510,7.617640,6.934070,7.465190,5.917050,1004276577
2014-08-31,7.476990,7.829110,7.338310,7.485840,5.933418,1421852754
2014-09-30,7.455350,7.548790,6.380330,6.912430,5.478921,3763614067
2014-10-31,6.874070,7.129800,6.433440,7.129800,5.778569,1844354838
2014-11-30,7.071770,7.294050,6.343940,6.880960,5.576888,1708373271
2014-12-31,6.880960,6.998980,5.682000,5.861990,4.751031,3408808843
2015-01-31,5.838390,6.429510,5.677080,6.425570,5.336612,1623096572
2015-02-28,6.442290,6.914400,6.197390,6.901610,5.731975,1959339761
2015-03-31,6.862270,7.051110,6.344920,6.644900,5.518771,1935566646
2015-04-30,6.644900,6.704900,6.306560,6.377380,5.412779,1226445199
2015-05-31,6.388200,6.776700,6.048870,6.160990,5.229118,1786918297
2015-06-30,6.220010,6.682280,5.874780,6.180670,5.245822,2812385532
2015-07-31,6.160010,6.222960,5.006300,5.370220,4.557955,2545469612
2015-08-31,5.293500,5.323000,4.476160,4.665990,3.992541,1978137485
2015-09-30,4.737790,5.311200,4.576490,5.016140,4.292153,3225591178
2015-10-31,4.964990,5.304320,4.831230,5.083020,4.392742,1491131493
2015-11-30,5.099740,5.139080,4.371910,4.483050,3.874248,1916052995
2015-12-31,4.483050,4.483050,3.639160,3.870290,3.344702,3276315261
2016-01-31,3.851610,3.875210,3.255570,3.691290,3.190010,3206628282
2016-02-29,3.688330,4.493870,3.636210,3.810300,3.335955,2162527188
2016-03-31,3.758170,4.607960,3.495560,4.348300,3.806979,3523217331
2016-04-30,4.339450,4.377810,3.865370,4.220440,3.736355,1941800651
2016-05-31,4.211590,4.255850,3.098200,3.372610,2.985771,2423354527
2016-06-30,3.441460,3.853570,3.216230,3.731610,3.303594,2371155897
2016-07-31,3.812260,3.993240,3.397200,3.953890,3.553308,1434804767
2016-08-31,3.960780,4.208640,3.691290,3.882100,3.488792,1436670746
2016-09-30,3.894880,4.463380,3.826030,4.403380,3.957259,1632519943
2016-10-31,4.420100,4.553860,4.081760,4.242080,3.855992,1432349266
2016-11-30,4.229290,4.965970,4.130930,4.877450,4.433533,1473664962
2016-12-31,4.840080,5.399720,4.838110,5.064330,4.603405,2338676863
2017-01-31,5.124330,5.269890,4.850900,5.069250,4.656485,1892985377
2017-02-28,5.094820,5.699710,5.094820,5.650530,5.190434,1712665887
2017-03-31,5.651510,6.010510,5.343660,5.888550,5.409071,2405022445
2017-04-30,5.888550,6.245580,5.539390,5.685940,5.271686,1997172407
2017-05-31,5.688890,6.029200,5.512830,5.696760,5.281717,1603559340
2017-06-30,5.753800,5.922970,5.501000,5.774000,5.353330,2336175359
2017-07-31,5.862000,5.875000,5.360000,5.459000,5.061280,1438667271
2017-08-31,5.486000,5.945000,5.270000,5.907000,5.533648,1109028969
2017-09-30,5.781000,5.907000,5.481000,5.823000,5.454958,1662750448
2017-10-31,5.868000,5.881000,5.376000,5.643000,5.324162,1037265198
2017-11-30,5.643000,5.732000,5.458000,5.479000,5.169428,822055649
2017-12-31,5.479000,6.093000,5.422000,5.983000,5.644951,2253409960
2018-01-31,6.060000,6.063000,5.406000,5.667000,5.400390,1774615315
2018-02-28,5.640000,5.646000,5.135000,5.295000,5.045891,1213935020
2018-03-31,5.295000,5.574000,5.105000,5.373000,5.120221,2474768051
2018-04-30,5.373000,5.537000,4.538500,4.600000,4.433251,1851472107
2018-05-31,4.684000,4.896500,4.500000,4.592000,4.425541,1210870361
2018-06-30,4.532000,4.858000,4.453500,4.819500,4.644794,2295779051
2018-07-31,4.826000,4.842000,4.255500,4.385000,4.283839,1720495095
2018-08-31,4.287500,4.636000,4.140000,4.335500,4.235480,940981666
2018-09-30,4.308000,4.430000,3.958000,4.195000,4.098222,1260447264
2018-10-31,4.200000,4.456500,4.057500,4.185000,4.122321,855509979
2018-11-30,4.272000,4.302000,3.800000,3.973000,3.913496,1068042040
2018-12-31,3.973000,4.420000,3.830000,4.132000,4.070115,2082865275
2019-01-31,4.117500,4.145000,4.026500,4.069500,4.069500,134061893
2019-02-01,4.117500,4.145000,4.026500,4.069500,4.069500,134352593
