Date,Open,High,Low,Close,Adj Close,Volume
2014-01-31,11.300500,11.414200,10.875400,10.984200,7.613578,391671998
2014-02-28,10.860600,11.463700,10.712300,11.354900,7.870526,659405891
2014-03-31,11.350000,12.051900,11.221400,11.933300,8.271438,1287486804
2014-04-30,11.933300,12.239800,11.399400,12.170600,8.435919,1240701543
2014-05-31,12.136000,12.788500,11.933300,12.378200,8.871873,614155697
2014-06-30,12.457300,12.605600,11.814600,12.071700,8.652194,412280340
2014-07-31,12.091500,12.091500,11.369800,11.933300,8.552999,307065874
2014-08-31,11.962900,12.328800,11.705900,12.116200,8.684089,685269462
2014-09-30,12.086500,12.170600,10.638100,11.859100,8.499819,639540377
2014-10-31,11.819600,12.744000,11.562500,12.734100,9.126958,1223024231
2014-11-30,12.684700,13.277900,11.468600,11.785000,8.682098,704753738
2014-12-31,11.785000,13.268000,11.122600,13.154300,9.690871,613295735
2015-01-31,12.981300,13.782100,12.655000,13.737600,10.120593,492592162
2015-02-28,13.792000,13.841400,12.813200,13.260000,9.768741,611322587
2015-03-31,13.270000,13.950000,12.855000,13.640000,10.048690,827996734
2015-04-30,13.640000,13.955000,12.835000,12.880000,9.488791,1459500221
2015-05-31,12.925000,13.580000,12.445000,12.750000,9.672261,721533457
2015-06-30,12.835000,14.120000,12.200000,13.940000,10.575006,535666054
2015-07-31,13.950000,14.305000,11.905000,12.590000,9.550884,470951313
2015-08-31,12.420000,12.470000,10.525000,10.830000,8.215734,737005693
2015-09-30,10.945000,12.165000,10.375000,12.030000,9.126063,564714881
2015-10-31,11.925000,12.570000,11.305000,11.675000,8.856757,976685098
2015-11-30,11.700000,11.825000,9.970000,10.235000,7.986660,660723800
2015-12-31,10.235000,10.235000,8.743000,9.678000,7.552018,658648888
2016-01-31,9.700000,9.725000,8.483000,9.244000,7.213355,538756666
2016-02-29,9.207000,10.345000,9.151000,9.852000,7.687795,667314320
2016-03-31,9.721000,10.035000,8.999000,9.522000,7.430288,582974982
2016-04-30,9.668000,9.693000,9.020000,9.391000,7.328063,941035909
2016-05-31,9.392000,9.414000,7.451000,8.460000,7.197634,646162541
2016-06-30,8.553000,9.207000,8.026000,8.768000,7.459675,393345480
2016-07-31,8.830000,9.120000,8.352000,9.030000,7.682580,246380186
2016-08-31,9.136000,9.799000,8.942000,9.015000,7.669818,417760107
2016-09-30,8.991000,9.331000,8.605000,9.260000,7.878261,360083716
2016-10-31,9.350000,9.380000,7.790000,7.852000,6.680357,515357213
2016-11-30,7.820000,8.940000,7.610000,8.820000,7.822077,549282257
2016-12-31,8.753000,9.259000,8.737000,8.925000,7.915198,374154436
2017-01-31,9.022000,9.710000,8.801000,9.649000,8.557281,373337943
2017-02-28,9.750000,10.630000,9.717000,10.485000,9.298693,509010010
2017-03-31,10.500000,10.570000,10.115000,10.155000,9.006030,344097299
2017-04-30,10.155000,10.550000,9.490000,9.914000,8.792297,507350459
2017-05-31,9.949000,10.185000,9.010000,9.038000,8.015411,1482775440
2017-06-30,9.117000,9.869000,8.926000,9.560000,8.650851,358388145
2017-07-31,9.754000,9.857000,8.826000,9.059000,8.197495,296115781
2017-08-31,9.059000,9.265000,8.831000,9.192000,8.317847,517406338
2017-09-30,9.105000,9.262000,8.600000,9.006000,8.149535,522327371
2017-10-31,9.080000,9.123000,8.422000,8.567000,7.752285,510188315
2017-11-30,8.648000,8.691000,8.100000,8.125000,7.352318,1139010055
2017-12-31,8.125000,8.599000,8.125000,8.191000,7.773869,415213692
2018-01-31,8.310000,8.330000,7.451000,7.993000,7.585952,465983768
2018-02-28,7.943000,8.220000,7.722000,8.028000,7.619170,433306047
2018-03-31,8.028000,8.476000,7.841000,8.433000,8.003545,266184967
2018-04-30,8.433000,8.444000,7.454000,7.547000,7.162665,437099691
2018-05-31,7.608000,7.837000,7.232000,7.279000,6.908313,1335500139
2018-06-30,7.232000,7.792000,7.160000,7.691000,7.494475,315412824
2018-07-31,7.670000,7.728000,6.960000,6.987000,6.808464,271146923
2018-08-31,6.995000,7.037000,6.592000,6.818000,6.643783,413173167
2018-09-30,6.828000,7.324000,6.741000,7.238000,7.053051,428742224
2018-10-31,7.256000,7.942000,7.238000,7.928000,7.725419,493189362
2018-11-30,8.045000,8.059000,7.222000,7.339000,7.151470,1228660811
2018-12-31,7.339000,7.798000,7.227000,7.495000,7.495000,322063396
2019-01-31,7.512000,7.558000,7.450000,7.526000,7.526000,17502790
2019-02-01,7.512000,7.558000,7.450000,7.526000,7.526000,17502790
